gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.949,0.074,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.946,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,1,0.999,0.99,0.987,0.96,0.922,0.827,0.716,0.643,0.622,0.519,0.427,0.304,0.267,0.158,0.142,0.11,0.027,0.036,0.022,0.023,0.003,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.993,0.993,1,0.979,0.929,0.919,0.86,0.809,0.656,0.549,0.436,0.408,0.266,0.26,0.161,0.043,0.005,0.023,0.031,0.011,0.001,0.004,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,0.999,0.997,0.967,0.928,0.953,0.935,0.899,0.822,0.834,0.759,0.656,0.549,0.384,0.382,0.231,0.133,0.101,0.072,0.051,0.027,0.018,0.001,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.987,1,0.989,0.996,0.96,0.936,0.913,0.947,0.88,0.859,0.823,0.753,0.627,0.531,0.394,0.309,0.305,0.172,0.097,0.118,0.054,0.035,0.015,0.006,0.001,0.002,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,1,0.987,0.991,0.987,0.95,0.918,0.895,0.785,0.856,0.841,0.752,0.596,0.503,0.507,0.365,0.225,0.151,0.119,0.05,0.015,0.004,0.018,0.007,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,1,0.999,0.994,0.952,0.952,0.94,0.889,0.794,0.83,0.683,0.614,0.656,0.49,0.3,0.283,0.294,0.075,0.056,0.037,0.035,0.004,0.006,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.947,0.932,0.923,0.788,0.793,0.749,0.664,0.572,0.378,0.374,0.345,0.233,0.14,0.083,0.045,0.058,0.019,0.001,0,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.998,0.998,0.993,1,0.999,0.993,0.996,1,0.955,0.962,0.929,0.851,0.586,0.563,0.455,0.309,0.283,0.221,0.105,0.076,0.053,0.046,0.038,0.03,0.018,0.015,0.027,0.002,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,1,1,1,1,1,1,1,1,0.998,0.992,0.985,0.947,0.86,0.824,0.838,0.681,0.715,0.744,0.532,0.595,0.457,0.42,0.246,0.183,0.117,0.102,0.056,0.049,0.025,0.012,0.002,0.001,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.987,0.969,0.896,0.909,0.939,0.96,0.957,0.907,0.872,0.819,0.85,0.71,0.653,0.546,0.561,0.571,0.371,0.259,0.154,0.132,0.1,0.025,0.025,0.021,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,1,1,0.992,0.976,0.96,0.943,0.942,0.981,0.925,0.944,0.939,0.972,0.951,0.968,0.914,0.824,0.806,0.757,0.706,0.531,0.494,0.437,0.431,0.243,0.133,0.033,0.025,0.035,0.01,0.006,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.999,0.989,0.978,0.948,0.885,0.884,0.856,0.826,0.791,0.807,0.771,0.624,0.65,0.402,0.343,0.285,0.218,0.129,0.107,0.062,0.041,0.035,0.008,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 0.979,0.988,0.981,0.973,0.99,0.996,0.988,0.983,0.986,0.984,0.977,0.946,0.979,0.986,0.915,0.891,0.901,0.874,0.873,0.827,0.699,0.718,0.59,0.527,0.336,0.324,0.206,0.109,0.15,0.079,0.038,0.051,0.007,0.006,0,0,0,0,0,0,1,1,1,1,1,1,1,0.994,0.982,0.945,0.965,0.987,0.987,0.967,0.933,0.905,0.896,0.937,0.851,0.838,0.772,0.695,0.611,0.467,0.357,0.373,0.246,0.196,0.162,0.073,0.006,0.03,0.043,0.015,0.002,0,0,0,0,0,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,0.999853,
4002, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.994,0.95,0.975,0.93,0.934,0.847,0.792,0.668,0.696,0.608,0.506,0.425,0.206,0.112,0.161,0.091,0.08,0.024,0.005,0.001,0,0,0,0,0,0,0,1,1,1,1,1,0.998,0.98,0.972,0.927,0.942,0.939,0.962,0.989,0.983,0.998,0.999,0.979,0.965,0.938,0.907,0.824,0.741,0.667,0.508,0.406,0.357,0.263,0.188,0.229,0.134,0.077,0.078,0.058,0.067,0.037,0.027,0.069,0.04,0.034,0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 1,1,1,1,1,1,1,1,1,1,1,1,1,0.975,0.963,0.98,0.978,0.96,0.937,0.884,0.799,0.759,0.719,0.563,0.559,0.515,0.294,0.226,0.245,0.167,0.096,0.045,0.015,0.012,0.011,0.008,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.996,0.938,0.95,0.924,0.886,0.885,0.783,0.781,0.771,0.681,0.559,0.456,0.39,0.378,0.369,0.304,0.205,0.15,0.194,0.127,0.051,0.012,0.004,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
