gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.955,0.075,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.959,0.069,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,0.995,0.972,0.962,0.952,0.987,0.94,0.923,0.846,0.699,0.769,0.84,0.843,0.794,0.585,0.466,0.351,0.288,0.235,0.157,0.161,0.122,0.133,0.083,0.066,0.042,0.05,0.07,0.019,0.001,0,0,0,0,0,1,1,0.998,0.991,0.976,0.986,0.935,0.983,0.922,0.969,0.961,0.953,0.978,0.938,0.877,0.849,0.668,0.669,0.586,0.633,0.579,0.407,0.288,0.15,0.088,0.076,0.079,0.082,0.017,0.005,0.005,0.012,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,0.997,0.979,0.973,0.973,0.953,0.942,0.927,0.952,0.958,0.936,0.84,0.772,0.744,0.695,0.52,0.516,0.485,0.381,0.289,0.242,0.258,0.193,0.177,0.083,0.137,0.106,0.086,0.051,0.034,0.042,0.029,0.022,0.033,0.032,0.013,0.012,0.036,0.993,0.992,0.965,0.966,0.957,0.941,0.902,0.914,0.903,0.891,0.914,0.919,0.915,0.895,0.884,0.85,0.762,0.695,0.563,0.473,0.484,0.331,0.29,0.236,0.19,0.18,0.082,0.024,0.033,0.036,0.066,0.053,0.05,0.051,0.037,0.017,0.016,0.002,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 0.869,0.83,0.908,0.921,0.878,0.908,0.91,0.9,0.884,0.868,0.828,0.779,0.849,0.844,0.804,0.816,0.725,0.625,0.566,0.423,0.326,0.199,0.239,0.251,0.282,0.236,0.279,0.315,0.281,0.24,0.335,0.156,0.108,0.101,0.094,0.078,0.08,0.08,0.044,0.02,0.971,0.978,0.973,0.967,0.911,0.85,0.8,0.886,0.893,0.925,0.931,0.936,0.965,0.932,0.883,0.873,0.803,0.846,0.808,0.631,0.541,0.56,0.397,0.436,0.391,0.364,0.376,0.319,0.266,0.201,0.097,0.08,0.025,0.048,0.009,0.019,0.001,0,0,0,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,
2002, 0.92,0.915,0.915,0.954,0.957,0.914,0.879,0.874,0.832,0.856,0.928,0.897,0.813,0.809,0.736,0.752,0.627,0.554,0.561,0.441,0.388,0.485,0.467,0.297,0.302,0.248,0.24,0.263,0.332,0.357,0.245,0.187,0.127,0.226,0.202,0.168,0.181,0.193,0.12,0.086,0.991,1,0.998,0.992,0.993,0.964,0.984,0.956,0.905,0.834,0.887,0.851,0.844,0.865,0.831,0.844,0.856,0.69,0.704,0.646,0.548,0.499,0.592,0.53,0.465,0.475,0.341,0.313,0.255,0.158,0.159,0.207,0.184,0.078,0.07,0.087,0.094,0.082,0.103,0.117,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,
2502, 0.994,0.971,0.959,0.941,0.922,0.911,0.852,0.844,0.823,0.833,0.847,0.804,0.847,0.725,0.635,0.63,0.626,0.56,0.518,0.485,0.568,0.575,0.481,0.406,0.407,0.418,0.373,0.292,0.227,0.227,0.203,0.243,0.158,0.104,0.105,0.11,0.109,0.105,0.133,0.141,0.948,0.907,0.879,0.933,0.922,0.896,0.885,0.812,0.891,0.868,0.798,0.825,0.905,0.896,0.905,0.903,0.793,0.749,0.707,0.743,0.749,0.674,0.639,0.512,0.525,0.46,0.319,0.389,0.323,0.213,0.154,0.173,0.237,0.204,0.111,0.114,0.05,0.008,0.038,0.033,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,
3002, 0.944,0.92,0.951,0.898,0.926,0.919,0.887,0.882,0.913,0.901,0.926,0.858,0.854,0.777,0.748,0.734,0.678,0.692,0.611,0.529,0.47,0.477,0.471,0.323,0.324,0.249,0.404,0.355,0.249,0.283,0.297,0.226,0.133,0.093,0.085,0.081,0.108,0.047,0.038,0.019,0.54,0.604,0.693,0.669,0.737,0.658,0.688,0.807,0.741,0.75,0.822,0.872,0.938,0.925,0.93,0.892,0.791,0.79,0.706,0.637,0.54,0.549,0.533,0.51,0.411,0.316,0.268,0.224,0.189,0.157,0.117,0.095,0.06,0.042,0.057,0.053,0.051,0.037,0.031,0.061,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,0.999929,
3502, 0.983,0.967,0.955,0.925,0.918,0.916,0.837,0.843,0.831,0.811,0.796,0.757,0.69,0.707,0.687,0.783,0.69,0.565,0.536,0.565,0.494,0.505,0.476,0.429,0.339,0.393,0.291,0.357,0.363,0.307,0.325,0.337,0.293,0.35,0.276,0.215,0.175,0.074,0.069,0.042,0.741,0.738,0.645,0.685,0.715,0.768,0.827,0.789,0.807,0.768,0.814,0.869,0.901,0.882,0.858,0.849,0.805,0.757,0.688,0.609,0.52,0.514,0.403,0.459,0.453,0.302,0.338,0.274,0.172,0.184,0.116,0.158,0.116,0.11,0.067,0.05,0.036,0.087,0.059,0.069,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,
4002, 0.737,0.843,0.91,0.951,0.959,0.883,0.886,0.859,0.841,0.866,0.905,0.91,0.878,0.904,0.902,0.795,0.811,0.88,0.786,0.752,0.686,0.576,0.592,0.499,0.301,0.242,0.278,0.244,0.256,0.306,0.205,0.121,0.168,0.09,0.04,0.007,0.02,0.016,0.076,0.066,0.732,0.793,0.857,0.88,0.86,0.77,0.812,0.726,0.696,0.709,0.83,0.805,0.892,0.837,0.789,0.819,0.753,0.748,0.682,0.541,0.545,0.476,0.402,0.367,0.3,0.221,0.253,0.207,0.265,0.209,0.154,0.225,0.143,0.103,0.101,0.096,0.056,0.027,0,0,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,0.999975,
4502, 0.95,0.941,0.942,0.914,0.937,0.885,0.745,0.774,0.793,0.816,0.835,0.871,0.813,0.748,0.749,0.702,0.692,0.738,0.642,0.567,0.573,0.618,0.359,0.301,0.286,0.32,0.204,0.143,0.068,0.145,0.169,0.181,0.186,0.152,0.087,0.042,0.064,0.027,0.062,0.073,0.941,0.947,0.9,0.842,0.917,0.921,0.891,0.885,0.905,0.903,0.913,0.834,0.828,0.807,0.798,0.825,0.733,0.697,0.67,0.65,0.68,0.686,0.531,0.491,0.329,0.341,0.411,0.332,0.396,0.441,0.299,0.337,0.334,0.286,0.322,0.226,0.181,0.175,0.064,0.051,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,0.999996,
