gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.914,0.071,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.919,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,1,1,0.998,0.967,0.928,0.916,0.87,0.805,0.744,0.661,0.601,0.522,0.325,0.157,0.104,0.035,0.044,0.003,0.008,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.999,0.99,0.994,0.95,0.906,0.877,0.855,0.811,0.883,0.898,0.708,0.452,0.372,0.218,0.139,0.15,0.109,0.05,0.044,0.112,0.013,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,1,1,1,1,1,1,1,0.996,0.963,0.967,0.928,0.863,0.809,0.754,0.751,0.616,0.453,0.349,0.193,0.136,0.06,0.09,0.033,0.04,0.068,0.038,0.009,0.007,0.015,0.002,0.001,0,0,0,0,1,1,1,1,1,1,1,0.999,0.993,1,0.989,0.954,0.952,0.93,0.933,0.881,0.936,0.86,0.748,0.714,0.551,0.416,0.319,0.2,0.178,0.166,0.198,0.1,0.045,0.049,0.012,0.002,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,1,1,0.994,0.969,0.969,0.923,0.946,0.913,0.905,0.896,0.809,0.867,0.755,0.638,0.569,0.438,0.451,0.245,0.242,0.17,0.154,0.097,0.057,0.024,0.034,0.043,0.01,0.007,0.007,0.005,0.001,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.969,0.951,0.875,0.837,0.671,0.587,0.57,0.568,0.561,0.517,0.452,0.392,0.231,0.155,0.071,0.064,0.06,0.031,0.045,0.026,0.003,0.01,0.004,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 0.996,0.996,0.994,0.985,0.98,0.952,0.959,0.941,0.857,0.904,0.938,0.925,0.946,0.918,0.913,0.906,0.85,0.808,0.726,0.681,0.578,0.541,0.302,0.291,0.301,0.217,0.192,0.15,0.099,0.058,0.016,0.001,0.006,0.03,0.011,0,0,0,0,0,1,1,1,1,1,1,0.995,0.984,0.973,0.968,0.962,0.99,0.959,0.949,0.896,0.849,0.915,0.871,0.853,0.799,0.743,0.642,0.475,0.34,0.349,0.284,0.208,0.135,0.05,0.024,0.018,0,0.011,0.009,0.007,0.005,0,0.004,0.002,0.001,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,0.999994,
2502, 1,1,1,1,0.99,0.966,0.909,0.887,0.913,0.889,0.865,0.841,0.778,0.685,0.731,0.699,0.664,0.788,0.794,0.704,0.618,0.521,0.366,0.235,0.244,0.206,0.103,0.077,0.019,0.006,0.002,0.004,0,0,0,0,0,0,0,0,1,1,0.996,0.984,0.987,0.999,1,1,0.999,1,0.989,0.988,0.98,0.972,0.954,0.965,0.959,0.946,0.824,0.735,0.577,0.54,0.45,0.27,0.23,0.128,0.082,0.124,0.115,0.076,0.028,0.004,0.006,0.002,0.01,0.019,0.002,0.001,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,0.999,0.984,0.994,0.999,0.991,0.946,0.934,0.962,0.871,0.778,0.76,0.798,0.807,0.768,0.793,0.741,0.608,0.588,0.61,0.643,0.538,0.485,0.328,0.288,0.126,0.074,0.031,0.042,0.011,0.015,0.002,0.003,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.997,0.98,0.956,0.918,0.952,0.964,0.918,0.954,0.913,0.842,0.723,0.726,0.726,0.675,0.498,0.4,0.219,0.216,0.151,0.208,0.079,0.037,0.014,0,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 1,1,1,0.999,0.998,0.988,0.992,0.982,0.985,0.951,0.965,0.918,0.942,0.819,0.795,0.791,0.774,0.737,0.723,0.612,0.51,0.466,0.411,0.384,0.153,0.106,0.081,0.06,0.054,0.081,0.043,0.084,0.04,0.017,0.003,0.015,0.003,0,0,0,1,1,1,1,1,1,1,1,0.995,0.974,0.963,0.959,0.984,0.951,0.956,0.943,0.873,0.847,0.796,0.667,0.688,0.59,0.423,0.393,0.33,0.311,0.124,0.101,0.059,0.022,0.032,0.009,0.02,0.008,0,0,0,0,0.009,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4002, 1,1,1,0.996,0.989,0.986,0.971,0.959,0.95,0.939,0.96,0.93,0.941,0.907,0.877,0.931,0.919,0.832,0.704,0.629,0.582,0.396,0.309,0.181,0.198,0.148,0.099,0.097,0.015,0.026,0.025,0.008,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.978,0.958,0.985,0.986,0.965,0.948,0.877,0.869,0.851,0.842,0.721,0.648,0.647,0.577,0.492,0.431,0.357,0.232,0.222,0.193,0.144,0.094,0.084,0.119,0.071,0.052,0.015,0.024,0.02,0.028,0.007,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 0.997,0.998,1,0.997,0.987,0.995,0.991,0.989,0.976,0.978,0.974,0.966,0.989,0.985,0.925,0.966,0.928,0.789,0.833,0.818,0.742,0.707,0.62,0.615,0.488,0.398,0.287,0.156,0.118,0.032,0.029,0.034,0.075,0.031,0.027,0.038,0.018,0.014,0.008,0.004,1,1,1,1,1,1,1,1,1,1,0.997,0.965,0.984,0.982,0.986,0.95,0.974,0.905,0.88,0.816,0.758,0.605,0.497,0.464,0.405,0.478,0.409,0.397,0.258,0.212,0.083,0.071,0.032,0.027,0.033,0.011,0,0,0,0,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,
