gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d20l0, d21l0, d22l0, d23l0, d24l0, d25l0, d26l0, d27l0, d28l0, d29l0, d30l0, d31l0, d32l0, d33l0, d34l0, d35l0, d36l0, d37l0, d38l0, d39l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d20l1, d21l1, d22l1, d23l1, d24l1, d25l1, d26l1, d27l1, d28l1, d29l1, d30l1, d31l1, d32l1, d33l1, d34l1, d35l1, d36l1, d37l1, d38l1, d39l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, d20W, d21W, d22W, d23W, d24W, d25W, d26W, d27W, d28W, d29W, d30W, d31W, d32W, d33W, d34W, d35W, d36W, d37W, d38W, d39W, 
2, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
502, 1,1,1,1,1,1,1,1,1,0.995,0.975,0.99,0.961,0.977,0.942,0.841,0.826,0.8,0.696,0.55,0.463,0.352,0.225,0.17,0.088,0.14,0.059,0.076,0.093,0.018,0.048,0.012,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.997,0.977,0.95,0.931,0.898,0.937,0.869,0.821,0.789,0.789,0.686,0.517,0.48,0.245,0.166,0.089,0.084,0.067,0.079,0.044,0.033,0.03,0.011,0.001,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1002, 1,1,1,1,1,0.991,0.964,0.975,0.897,0.855,0.882,0.858,0.836,0.85,0.826,0.823,0.732,0.752,0.71,0.701,0.605,0.513,0.454,0.426,0.418,0.306,0.178,0.143,0.149,0.124,0.038,0.01,0.001,0.001,0.01,0.016,0.08,0.004,0.009,0.009,1,1,1,0.996,0.997,0.998,0.996,0.984,0.92,0.93,0.844,0.847,0.775,0.791,0.719,0.54,0.428,0.415,0.409,0.463,0.317,0.228,0.113,0.098,0.108,0.104,0.115,0.11,0.043,0.015,0.028,0.03,0.044,0.026,0.082,0.05,0.103,0.085,0.084,0.128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1502, 1,1,1,1,1,1,0.997,0.953,0.969,0.972,0.989,0.982,0.958,0.971,0.909,0.827,0.742,0.801,0.735,0.646,0.493,0.442,0.506,0.494,0.32,0.324,0.266,0.353,0.202,0.092,0.093,0.089,0.086,0.04,0.083,0.06,0.016,0.005,0.01,0.009,0.998,0.982,0.994,0.955,0.965,0.951,0.939,0.949,0.869,0.885,0.917,0.871,0.744,0.572,0.564,0.484,0.537,0.499,0.408,0.499,0.354,0.395,0.364,0.249,0.118,0.038,0.072,0.06,0.099,0.099,0.087,0.124,0.086,0.119,0.14,0.197,0.201,0.156,0.077,0.073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2002, 1,1,1,1,1,1,1,0.999,0.998,0.986,0.969,0.936,0.937,0.895,0.843,0.817,0.744,0.645,0.672,0.646,0.722,0.68,0.608,0.7,0.549,0.514,0.493,0.428,0.292,0.144,0.105,0.035,0.027,0.107,0.051,0.047,0.021,0.032,0.039,0.064,0.995,0.988,0.944,0.944,0.914,0.874,0.898,0.91,0.822,0.88,0.864,0.874,0.768,0.702,0.693,0.553,0.583,0.538,0.487,0.517,0.522,0.438,0.409,0.336,0.238,0.28,0.173,0.171,0.083,0.127,0.111,0.082,0.145,0.153,0.122,0.092,0.046,0.106,0.158,0.149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2502, 1,1,1,1,0.989,0.989,0.99,0.981,0.984,0.934,0.932,0.904,0.934,0.862,0.854,0.795,0.661,0.636,0.586,0.495,0.477,0.489,0.614,0.616,0.489,0.604,0.507,0.429,0.541,0.362,0.272,0.193,0.132,0.118,0.105,0.047,0.043,0.037,0.008,0.033,0.99,0.994,0.99,1,0.998,0.984,0.99,0.987,0.977,0.962,0.951,0.9,0.85,0.793,0.639,0.639,0.578,0.63,0.609,0.613,0.648,0.556,0.539,0.345,0.264,0.198,0.244,0.217,0.13,0.151,0.132,0.114,0.124,0.097,0.107,0.07,0.124,0.172,0.154,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3002, 1,1,1,1,0.994,0.99,0.985,0.958,0.982,0.996,1,1,0.99,0.959,0.938,0.83,0.681,0.641,0.709,0.72,0.69,0.782,0.697,0.678,0.731,0.6,0.675,0.472,0.322,0.315,0.34,0.363,0.375,0.187,0.242,0.347,0.305,0.225,0.263,0.286,0.989,0.999,0.972,0.988,0.994,0.981,0.96,0.957,0.931,0.911,0.905,0.93,0.864,0.87,0.852,0.833,0.704,0.693,0.643,0.518,0.531,0.411,0.366,0.444,0.31,0.191,0.253,0.221,0.204,0.157,0.191,0.147,0.136,0.149,0.143,0.26,0.202,0.172,0.098,0.062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
3502, 0.948,0.963,0.977,0.961,0.958,0.973,0.983,0.962,0.996,0.995,0.998,0.982,0.99,0.991,0.978,0.948,0.882,0.827,0.838,0.855,0.879,0.857,0.893,0.802,0.749,0.734,0.711,0.62,0.489,0.516,0.576,0.616,0.589,0.507,0.554,0.565,0.409,0.309,0.267,0.166,0.997,1,0.999,0.974,0.988,0.98,0.975,0.953,0.946,0.913,0.877,0.839,0.869,0.886,0.878,0.834,0.826,0.784,0.776,0.76,0.627,0.598,0.512,0.485,0.378,0.347,0.335,0.293,0.307,0.341,0.261,0.226,0.224,0.069,0.116,0.053,0.148,0.127,0.264,0.288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4002, 1,1,1,0.992,0.976,0.941,0.995,0.999,0.948,0.982,1,0.998,0.978,0.978,0.978,0.947,0.965,0.946,0.938,0.949,0.937,0.938,0.915,0.864,0.766,0.817,0.773,0.746,0.8,0.756,0.748,0.708,0.669,0.628,0.613,0.515,0.49,0.504,0.458,0.541,1,1,1,1,0.994,0.991,0.958,0.9,0.912,0.936,0.975,0.982,0.956,0.926,0.923,0.891,0.75,0.759,0.765,0.824,0.736,0.616,0.656,0.46,0.435,0.553,0.486,0.463,0.423,0.339,0.326,0.335,0.287,0.206,0.243,0.44,0.386,0.427,0.425,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4502, 1,1,1,1,0.981,0.98,0.966,0.917,0.854,0.902,0.861,0.909,0.955,0.889,0.915,0.945,0.942,0.969,0.957,0.963,0.931,0.935,0.895,0.851,0.781,0.749,0.877,0.929,0.945,0.917,0.807,0.598,0.572,0.591,0.516,0.503,0.442,0.457,0.584,0.566,1,1,1,1,0.999,0.993,0.962,0.953,0.914,0.903,0.829,0.729,0.826,0.814,0.734,0.754,0.77,0.689,0.637,0.599,0.602,0.542,0.527,0.57,0.556,0.557,0.457,0.469,0.472,0.406,0.344,0.401,0.292,0.24,0.2,0.179,0.141,0.102,0.102,0.087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
